timestamp,src_ip,dst_ip,protocol,packet_length,ttl,tcp_flag,window_size,source_location,experiment_id,experiment_timestamp
1783080208.129311,192.168.1.31,35.186.224.35,TCP,82,128,PA,251.0,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080208.137538,35.186.224.35,192.168.1.31,TCP,60,120,A,1049.0,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080208.142914,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080209.41805,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080209.512378,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080209.767278,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080209.890969,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080210.146543,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080220.023958,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080221.288053,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080221.318303,192.168.1.18,192.168.1.255,UDP,126,64,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080222.555748,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080223.809477,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.881839,192.168.1.31,216.239.38.223,UDP,1292,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
